genres,popularity
indietronica,52.04924480397951
rap cristiano,52.03846153846154
regional mexican,52.01501166350276
devon indie,52.0
orebro indie,52.0
swedish idol pop,52.0
spiritual hip hop,52.0
gothic alternative,52.0
polish modern jazz,52.0
stomp and whittle,52.0
calgary indie,52.0
purple sound,52.0
nova musica pernambucana,52.0
german country,52.0
breton folk,52.0
kabyle,52.0
scottish jazz,52.0
french contemporary classical,52.0
latin ska,52.0
york indie,52.0
canadian indigenous hip hop,52.0
scottish hip hop,52.0
fluxwork,52.0
synthwave,52.0
jazz pop,51.990660511283465
atl hip hop,51.9581621254174
latin afrobeat,51.954444444444455
mandopop,51.9131662349903
hopebeat,51.90919737022325
brooklyn indie,51.89803469477385
tennessee hip hop,51.8973490132126
modern folk rock,51.88553395061729
christian hip hop,51.88074074074074
spanish new wave,51.87843137254902
nottingham indie,51.8
bc underground hip hop,51.78
icelandic folk,51.75
schlager,51.75
indy indie,51.75
cumbia andina mexicana,51.74
deep euro house,51.73333333333333
neo-synthpop,51.71475052521008
stomp and holler,51.70627025026877
vocal house,51.67307222691837
italian indie pop,51.66666666666666
vocaloid,51.66666666666666
belgian dance,51.66666666666666
finnish death metal,51.66666666666666
indie surf,51.65415444770283
chillwave,51.63007204385536
tribal house,51.62527472527473
pop flamenco,51.625
wonky,51.62271062271062
middle earth,51.57742391546989
san diego rap,51.55833333333332
bubblegrunge,51.53864203429421
atmosphere,51.53571428571429
vaporwave,51.50396825396826
j-punk,51.5
hauntology,51.5
jacksonville indie,51.5
nerdcore,51.5
detroit house,51.5
boy pop,51.5
new tribe,51.5
alberta country,51.49047619047619
modern country rock,51.486537301229
filter house,51.45490196078431
nz singer-songwriter,51.4
neo-classical,51.3761236312707
redneck,51.361968250121954
trova mexicana,51.33333333333334
deep tropical house,51.3
electro jazz,51.25
melodic groove metal,51.24242424242424
kaneka,51.235294117647065
rock urbano mexicano,51.20025373931625
industrial hip hop,51.17857142857143
spanish pop rock,51.169849215177344
new rave,51.16385273321308
pop reggaeton,51.1488603988604
world meditation,51.14285714285714
bass house,51.13888888888889
anthem emo,51.12964669738862
nordic soundtrack,51.125
albuquerque indie,51.11111111111112
acoustic rock,51.10978835978836
argentine indie,51.1
seattle indie,51.09973233737938
alternative dance,51.05249879643903
nashville singer-songwriter,51.005519480519474
lo-fi brasileiro,51.0
psybass,51.0
deep r&b,51.0
focus beats,51.0
fort worth indie,51.0
korean indie rock,51.0
boom bap brasileiro,51.0
italian classical guitar,51.0
rap nacional antigo,51.0
swedish underground rap,51.0
gothenburg indie,50.99652777777778
chamber pop,50.99522842113672
epicore,50.99307091257555
gothenburg metal,50.99090909090909
boston hip hop,50.98282828282829
naija worship,50.95833333333334
ecuadorian pop,50.95436507936508
austindie,50.94871794871796
nigerian pop,50.947601010101
electropowerpop,50.90536568694464
chilena,50.9010989010989
french shoegaze,50.87000000000001
chilean rock,50.839824561403525
christian hard rock,50.83333333333334
venezuelan indie,50.8
gothic symphonic metal,50.775673400673405
baltic classical,50.75
bitpop,50.735294117647065
progressive metalcore,50.72727272727273
glitch,50.71589688506981
girl group,50.68277135607089
banda,50.6746208400031
austin americana,50.65625
christian indie,50.62837075238181
tropical,50.6101909888024
technical groove metal,50.6
irish singer-songwriter,50.59378787878788
uk alternative hip hop,50.58791208791208
australian electropop,50.58788515406161
pop rock,50.58087780359606
video game music,50.546237905300295
anime score,50.53980281174044
livetronica,50.52639241100781
rock nacional brasileiro,50.50714285714286
portland metal,50.5
norwegian punk rock,50.5
southern hip hop,50.47883692226335
house,50.47767894667105
kirtan,50.45416666666666
folktronica,50.43333333333332
nu skool breaks,50.42424242424243
cedm,50.42307692307693
rap kreyol,50.40909090909091
italian gothic,50.4
italian metal,50.4
italian gothic metal,50.4
malaysian mandopop,50.375
wrestling,50.34453427517578
boy band,50.31458173562786
japanese soundtrack,50.28300189393939
new americana,50.28294393690107
mashup,50.257142857142846
belgian edm,50.25
bmore,50.24661654135339
italo house,50.23076923076921
bahamian pop,50.22222222222222
desert blues,50.20833333333334
ccm,50.205672449200144
chicago indie,50.20268979386626
bass music,50.1875
duluth indie,50.16666666666667
argentine punk,50.16666666666666
swedish indie pop,50.14082788671024
relaxative,50.11111111111112
canadian ccm,50.10479375696767
dancehall,50.10143666098211
art pop,50.09396319551784
neon pop punk,50.09298948473323
australian singer-songwriter,50.08333333333334
japanese power metal,50.08333333333333
cumbia sonidera,50.07733372539522
deep big room,50.04416386083054
russian ccm,50.04
psychedelic hip hop,50.00491060077732
melodic dubstep,50.00204678362573
psychill,50.0
arkansas indie,50.0
sudanese pop,50.0
oshare kei,50.0
instrumental math rock,50.0
string orchestra,50.0
jamtronica,50.0
funky breaks,50.0
jump up,50.0
blues latinoamericano,50.0
christian dance,50.0
bajki,50.0
brazilian punk,50.0
vienna indie,50.0
baroque singing,50.0
cape town indie,50.0
japanese indie folk,50.0
reggaeton cristiano,50.0
french dnb,50.0
polish post-rock,50.0
asbury park indie,50.0
deep new americana,49.96240184283664
vallenato,49.908426301555096
electronica,49.87995006034328
italian baroque ensemble,49.875
sheffield indie,49.84189814814815
pinoy praise,49.83333333333333
alternative americana,49.82291666666666
uk alternative pop,49.7998556998557
k-indie,49.78333333333333
latin worship,49.76013204471914
scottish electronic,49.756410256410255
austrian pop,49.75
ambeat,49.7014652014652
musica aragonesa,49.69565217391305
nursery,49.675824175824175
pop emo,49.64834891108199
filthstep,49.64814814814815
j-metal,49.62037037037036
wisconsin indie,49.6
candy pop,49.59883442265796
nu jazz,49.59403439358426
dark clubbing,49.5875420875421
rap metal,49.5849672038829
ninja,49.579519769329394
new england emo,49.56190476190476
brazilian rock,49.551388888888894
world worship,49.5216557275511
speed garage,49.5079365079365
dutch dnb,49.5
alabama metal,49.5
belgian indie,49.5
post-grunge,49.49934559165091
trap dominicano,49.47619047619048
downtempo,49.47461532637517
chinese audiophile,49.42857142857143
qawwali,49.41666666666667
welsh rock,49.41666666666667
r&b,49.41606967293416
korean pop,49.39147286821706
norteno,49.36530079780242
soul flow,49.36363636363637
welsh metal,49.35714285714286
canadian contemporary r&b,49.324184484153655
modern reggae,49.31428682242309
indie hip hop,49.3
philly indie,49.29328796736086
pop punk,49.28804322782338
rave,49.27125950972106
ghanaian hip hop,49.26666666666666
wyoming indie,49.25
desi hip hop,49.25
taiwan singer-songwriter,49.21666666666666
deep ccm,49.20986026594545
german alternative rock,49.2
country road,49.196370582739455
nouvelle chanson francaise,49.18421052631579
south dakota indie,49.16666666666667
swedish garage rock,49.16666666666666
idol,49.12619047619047
deep regional mexican,49.10650510436697
symphonic metal,49.10188246097336
french pop,49.09435677591017
modern jazz piano,49.07936507936508
salsa choke,49.073198198198206
pagode,49.02753086419752
classic tunisian pop,49.0
arizona punk,49.0
ukrainian choir,49.0
classic french pop,49.0
neotango,49.0
korean classical piano,49.0
baroque woodwind,49.0
argentine metal,49.0
bristol electronic,49.0
israeli hip hop,49.0
eugene indie,49.0
tunisian pop,49.0
partido alto,49.0
nz hardcore,49.0
malmo indie,49.0
college a cappella,49.0
nz punk,49.0
chattanooga indie,49.0
japanese rockabilly,49.0
north east england indie,49.0
chilean indie,48.988888888888894
hip hop,48.97433067109839
nuevo flamenco,48.96428571428572
lo-fi emo,48.9439393939394
shamanic,48.94019607843137
