id_artists,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,loudness_scale,tempo_scale,duration_scale,popularity_scale
['5LiOoJbxVSAMkBS2fUm3X2'],69mWzKmxFFwIAJS8nzcCgO,Recuerdo Criollo - Remasterizado,0,186200,0,['Ignacio Corsini'],1922-03-29,0.313,0.102,10,-30.026,0,0.0436,0.985,0.97,0.102,0.312,67.575,3,0.4995666666666667,0.2775074227845606,0.03445914684926436,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],6E4t6Sor5rWOLQDCAdI0vN,Despedida - Remasterizado,0,178373,0,['Ignacio Corsini'],1922-03-29,0.425,0.308,1,-21.085,0,0.0534,0.98,0.0,0.631,0.509,64.738,4,0.6485833333333333,0.2658568336844526,0.033010641251040994,0.0
"['3BiJGZsyX9sJchTqcSA7Su', '5o8E07TcYqIefZpDejymAd']",6GhbZRE9N2TPf86zI1dIxQ,You'll Never Know,0,165253,0,"['Dick Haymes', 'The Pied Pipers']",1922,0.392,0.128,2,-15.22,1,0.0378,0.9940000000000001,0.153,0.0983,0.226,126.728,3,0.7463333333333333,0.520428570841906,0.030582585361339874,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],6eew1OP57TeUDUMcjYE6A0,La Muchacha - Remasterizado,0,164320,0,['Ignacio Corsini'],1922-03-29,0.32299999999999995,0.106,8,-25.138,1,0.0483,0.992,0.9179999999999999,0.182,0.255,71.432,3,0.5810333333333333,0.29334680317198275,0.03040991949662256,0.0
['3BiJGZsyX9sJchTqcSA7Su'],6hH0kKnTWoGq5wppHKj5ie,Stardust,0,172933,0,['Dick Haymes'],1922,0.20800000000000002,0.226,8,-14.517999999999999,1,0.0331,0.985,0.81,0.21899999999999997,0.22,74.03,3,0.7580333333333333,0.30401590098025927,0.0320038863699454,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],6qXSeW8iUiHpbgRiqQO3aJ,Pobre Gaucho - Remasterizado,0,155253,0,['Ignacio Corsini'],1922-03-29,0.47600000000000003,0.131,2,-29.575,0,0.0523,0.995,0.929,0.102,0.635,69.40899999999999,4,0.5070833333333333,0.28503903378547635,0.02873193300638475,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],6tl1bsB5SXbsLjOndGiM7Q,El Poder de Tus Ojos - Remasterizado,0,172800,0,['Ignacio Corsini'],1922-03-21,0.35700000000000004,0.244,1,-21.2,1,0.0478,0.993,0.0455,0.27399999999999997,0.5589999999999999,72.51,5,0.6466666666666667,0.2977737806305363,0.0319792726936245,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],7mFmbNkbJjrvDMukkza3OF,Pobre China - Remasterizado,0,158573,0,['Ignacio Corsini'],1922-03-21,0.564,0.17800000000000002,9,-26.435,1,0.0432,0.995,0.9209999999999999,0.11199999999999999,0.706,60.422,4,0.5594166666666667,0.2481324972177391,0.02934634958822985,0.0
['0hKr2636wsQI7PrARkAiaA'],7p94hrYktZStgIu6TCj3cZ,Antoine,0,165200,0,['Fortugé'],1922,0.537,0.153,8,-15.217,1,0.0898,0.9940000000000001,0.0,0.419,0.5579999999999999,129.134,4,0.7463833333333334,0.5303091902902175,0.03057277690385861,0.0
"['3BiJGZsyX9sJchTqcSA7Su', '58wzyK6DupVsypvs3QV2Fo', '6lXiGaWjISZnER53ZJe6QO']",7qiy1Sp4KTJKzQifOhY0IP,Everytime I Meet You,0,178653,0,"['Dick Haymes', 'Gordon Jenkins', 'His Orchestra']",1922,0.295,0.27699999999999997,7,-10.849,1,0.0346,0.9890000000000001,0.122,0.19399999999999998,0.174,81.05,4,0.8191833333333334,0.33284464101648,0.03306245951697973,0.0
