,Unnamed: 0,Key,MusicalKey,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
2461,2461,0,C,0.59,2020,0.428,['Morgan Wallen'],0.457,210123,0.774,0,0tbjiOUl4k492KPdWZS9sy,4.29e-05,0.119,-5.2010000000000005,1,7 Summers,82,2020-08-14,0.0336,203.863
2462,2462,0,C,0.225,2020,0.0417,['Juice WRLD'],0.706,242181,0.625,1,5dOxHHMOFAbG3VH23t0xNm,0.0,0.129,-7.426,1,Righteous,84,2020-07-10,0.0314,142.94799999999995
2463,2463,0,C,0.161,2020,0.114,"['Gunna', 'Young Thug']",0.825,197760,0.458,1,3nS9a01VvXHQriLqJYwRqG,0.0,0.102,-7.47,1,DOLLAZ ON MY HEAD (feat. Young Thug),83,2020-05-22,0.0577,145.115
2464,2464,0,C,0.7609999999999999,2020,0.234,"['Jawsh 685', 'Jason Derulo']",0.767,171375,0.481,1,1xQ6trAsedVPCdbtDAmk0c,0.0,0.269,-8.52,0,Savage Love (Laxed - Siren Beat),91,2020-06-11,0.0803,150.076
2465,2465,0,C,0.382,2020,0.519,"['Ariana Grande', 'The Weeknd']",0.411,239949,0.522,0,7E1jVNoWuemqUryI4FxsVD,0.0,0.398,-7.295,1,off the table (with The Weeknd),85,2020-10-30,0.0981,88.33200000000002
2466,2466,0,C,0.349,2020,0.207,['Lil Mosey'],0.774,162547,0.5539999999999999,1,6wJYhPfqk3KGhHRG76WzOh,0.0,0.132,-7.909,1,Blueberry Faygo,84,2020-02-07,0.0383,99.034
2467,2467,0,C,0.387,2020,0.0421,"['Future', 'Lil Uzi Vert']",0.752,213520,0.6579999999999999,1,0k7wmahjkn389wAZdz19Cv,0.0,0.0927,-6.2970000000000015,1,Drankin N Smokin,80,2020-11-13,0.342,151.951
2468,2468,0,C,0.599,2020,0.8009999999999999,['Ariana Grande'],0.499,157710,0.462,1,3ko9jEHNt4O5fjKN65ULJp,0.0,0.0946,-5.308,1,shut up,83,2020-10-30,0.0312,127.698
2469,2469,0,C,0.434,2020,0.67,['Ariana Grande'],0.7390000000000001,183874,0.516,1,2IKJtXeR5UsaUjZB46fTOK,0.0,0.151,-7.154,1,six thirty,83,2020-10-30,0.0539,120.109
2470,2470,0,C,0.715,2020,0.424,['salem ilese'],0.738,136839,0.621,0,7aGyRfJWtLqgJaZoG9lJhE,7.39e-06,0.6920000000000001,-7.313,1,Mad at Disney,88,2020-07-24,0.0486,113.968
2471,2471,0,C,0.28,2020,0.233,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.716,165978,0.537,1,39Yp9wwQiSRIDOvrVg7mbk,0.0,0.157,-7.648,0,THE SCOTTS,85,2020-04-24,0.0514,129.97899999999998
2472,2472,0,C,0.3720000000000001,2020,0.0815,['Ariana Grande'],0.6859999999999999,158436,0.526,0,6u7gmPOz7pzzaeR9xSBpsR,7.75e-06,0.14400000000000002,-6.8420000000000005,1,my hair,83,2020-10-30,0.0374,92.013
2473,2473,0,C,0.26,2020,0.0967,['Ariana Grande'],0.624,146959,0.672,1,0q85C1JiECyYIQthz1posA,0.0,0.155,-5.334,1,obvious,82,2020-10-30,0.106,159.852
2474,2474,0,C,0.349,2020,0.207,['Lil Mosey'],0.774,162547,0.5539999999999999,1,22LAwLoDA5b4AaGSkg6bKW,0.0,0.132,-7.909,1,Blueberry Faygo,84,2020-02-06,0.0383,99.034
2475,2475,0,C,0.716,2020,0.199,"['SZA', 'The Neptunes', 'Pharrell Williams', 'Ty Dolla $ign']",0.679,202008,0.516,1,7Bar1kLTmsRmH6FCKKMEyU,0.0,0.0965,-6.371,0,Hit Different,81,2020-09-04,0.0452,120.074
2476,2476,0,C,0.551,2020,0.537,['Taylor Swift'],0.613,239560,0.581,0,4R2kfaDFhslZEMJqAFNpdd,0.00034500000000000004,0.25,-8.588,0,cardigan,83,2020-07-24,0.0424,130.033
2480,2480,0,C,0.467,2020,0.213,['The Kid LAROI'],0.662,161385,0.413,1,27OeeYzk6klgBh83TSvGMA,0.0,0.134,-7.357,1,WITHOUT YOU,81,2020-11-06,0.0299,93.005
2481,2481,0,C,0.172,2020,0.757,['Taylor Swift'],0.777,210252,0.35700000000000004,1,0Jlcvv8IykzHaSmj49uNW8,7.28e-06,0.108,-6.942,1,the 1,80,2020-07-24,0.0522,139.88299999999998
